n,switching_ratio,calls
10,0,23
10,0,36
10,0,23
10,0,19
10,0,29
10,0,29
10,0,20
10,0,35
10,0,25
10,0,43
10,0,34
10,0,27
10,0,68
10,0,39
10,0,37
10,0,19
10,0,32
10,0,29
10,0,25
10,0,45
10,0,28
10,0,16
10,0,31
10,0,23
10,0,49
10,0,31
10,0,21
10,0,17
10,0,45
10,0,31
10,0,38
10,0,24
10,0,36
10,0,25
10,0,33
10,0,27
10,0,24
10,0,24
10,0,16
10,0,23
10,0,25
10,0,67
10,0,42
10,0,43
10,0,22
10,0,37
10,0,23
10,0,46
10,0,39
10,0,36
10,0,29
10,0,31
10,0,26
10,0,36
10,0,36
10,0,30
10,0,18
10,0,20
10,0,37
10,0,29
10,0,32
10,0,27
10,0,18
10,0,38
10,0,38
10,0,33
10,0,34
10,0,41
10,0,30
10,0,23
10,0,24
10,0,28
10,0,28
10,0,27
10,0,21
10,0,18
10,0,45
10,0,48
10,0,29
10,0,31
10,0,29
10,0,33
10,0,21
10,0,28
10,0,21
10,0,13
10,0,26
10,0,24
10,0,38
10,0,35
10,0,55
10,0,36
10,0,31
10,0,25
10,0,43
10,0,21
10,0,31
10,0,22
10,0,29
10,0,29
10,0,36
10,0,34
10,0,32
10,0,31
10,0,30
10,0,31
10,0,32
10,0,28
10,0,45
10,0,25
10,0,24
10,0,25
10,0,18
10,0,22
10,0,24
10,0,23
10,0,30
10,0,32
10,0,23
10,0,34
10,0,30
10,0,35
10,0,35
10,0,20
10,0,25
10,0,23
10,0,27
10,0,24
10,0,26
10,0,25
10,0,31
10,0,24
10,0,23
10,0,29
10,0,18
10,0,35
10,0,27
10,0,21
10,0,39
10,0,30
10,0,39
10,0,25
10,0,26
10,0,51
10,0,38
10,0,19
10,0,16
10,0,23
10,0,36
10,0,29
10,0,20
10,0,17
10,0,31
10,0,22
10,0,39
10,0,47
10,0,24
10,0,30
10,0,24
10,0,63
10,0,20
10,0,33
10,0,21
10,0,21
10,0,22
10,0,34
10,0,34
10,0,44
10,0,41
10,0,25
10,0,37
10,0,23
10,0,27
10,0,25
10,0,22
10,0,24
10,0,34
10,0,29
10,0,52
10,0,29
10,0,29
10,0,36
10,0,17
10,0,33
10,0,26
10,0,31
10,0,26
10,0,36
10,0,34
10,0,25
10,0,54
10,0,38
10,0,23
10,0,23
10,0,26
10,0,32
10,0,33
10,0,29
10,0,28
10,0,46
10,0,32
10,0,26
10,0,24
10,0,27
10,0,52
10,0,34
10,0,32
10,0,28
10,0,24
10,0,46
10,0,26
10,0,25
10,0,24
10,0,31
10,0,29
10,0,18
10,0,27
10,0,30
10,0,69
10,0,55
10,0,21
10,0,45
10,0,39
10,0,22
10,0,24
10,0,32
10,0,23
10,0,21
10,0,38
10,0,50
10,0,43
10,0,19
10,0,38
10,0,31
10,0,23
10,0,37
10,0,15
10,0,29
10,0,53
10,0,21
10,0,41
10,0,43
10,0,43
10,0,30
10,0,23
10,0,22
10,0,18
10,0,40
10,0,26
10,0,27
10,0,20
10,0,31
10,0,34
10,0,28
10,0,34
10,0,23
10,0,28
10,0,18
10,0,29
10,0,29
10,0,23
10,0,53
10,0,35
10,0,25
10,0,24
10,0,25
10,0,34
10,0,22
10,0,19
10,0,38
10,0,20
10,0,27
10,0,39
10,0,37
10,0,23
10,0,23
10,0,25
10,0,32
10,0,23
