n,switching_ratio,calls
10,0.6,12
10,0.6,14
10,0.6,17
10,0.6,16
10,0.6,11
10,0.6,12
10,0.6,11
10,0.6,15
10,0.6,12
10,0.6,11
10,0.6,11
10,0.6,16
10,0.6,15
10,0.6,12
10,0.6,14
10,0.6,12
10,0.6,10
10,0.6,12
10,0.6,14
10,0.6,10
10,0.6,17
10,0.6,12
10,0.6,14
10,0.6,10
10,0.6,13
10,0.6,9
10,0.6,14
10,0.6,11
10,0.6,14
10,0.6,11
10,0.6,17
10,0.6,11
10,0.6,12
10,0.6,14
10,0.6,15
10,0.6,19
10,0.6,13
10,0.6,14
10,0.6,10
10,0.6,9
10,0.6,10
10,0.6,12
10,0.6,12
10,0.6,12
10,0.6,10
10,0.6,13
10,0.6,10
10,0.6,10
10,0.6,17
10,0.6,15
10,0.6,11
10,0.6,11
10,0.6,10
10,0.6,12
10,0.6,15
10,0.6,15
10,0.6,16
10,0.6,10
10,0.6,14
10,0.6,12
10,0.6,17
10,0.6,13
10,0.6,12
10,0.6,11
10,0.6,12
10,0.6,12
10,0.6,11
10,0.6,12
10,0.6,11
10,0.6,12
10,0.6,13
10,0.6,15
10,0.6,11
10,0.6,12
10,0.6,15
10,0.6,12
10,0.6,11
10,0.6,14
10,0.6,11
10,0.6,13
10,0.6,15
10,0.6,11
10,0.6,13
10,0.6,15
10,0.6,15
10,0.6,15
10,0.6,15
10,0.6,14
10,0.6,14
10,0.6,12
10,0.6,12
10,0.6,16
10,0.6,13
10,0.6,11
10,0.6,14
10,0.6,10
10,0.6,14
10,0.6,14
10,0.6,13
10,0.6,11
10,0.6,13
10,0.6,11
10,0.6,18
10,0.6,10
10,0.6,14
10,0.6,16
10,0.6,12
10,0.6,10
10,0.6,12
10,0.6,13
10,0.6,15
10,0.6,14
10,0.6,16
10,0.6,16
10,0.6,18
10,0.6,15
10,0.6,12
10,0.6,16
10,0.6,16
10,0.6,12
10,0.6,12
10,0.6,12
10,0.6,10
10,0.6,13
10,0.6,10
10,0.6,11
10,0.6,11
10,0.6,14
10,0.6,14
10,0.6,13
10,0.6,16
10,0.6,14
10,0.6,11
10,0.6,10
10,0.6,11
10,0.6,15
10,0.6,12
10,0.6,14
10,0.6,14
10,0.6,13
10,0.6,14
10,0.6,15
10,0.6,12
10,0.6,10
10,0.6,15
10,0.6,11
10,0.6,17
10,0.6,17
10,0.6,14
10,0.6,15
10,0.6,13
10,0.6,13
10,0.6,12
10,0.6,15
10,0.6,10
10,0.6,13
10,0.6,13
10,0.6,14
10,0.6,11
10,0.6,12
10,0.6,17
10,0.6,15
10,0.6,11
10,0.6,15
10,0.6,16
10,0.6,10
10,0.6,15
10,0.6,10
10,0.6,11
10,0.6,10
10,0.6,12
10,0.6,11
10,0.6,11
10,0.6,10
10,0.6,11
10,0.6,14
10,0.6,10
10,0.6,11
10,0.6,10
10,0.6,12
10,0.6,18
10,0.6,16
10,0.6,19
